AGENCY,RECIPIENT,AWARD DESCRIPTION,PAYMENT DATE,PAYMENT
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,CT ST DEPT OF PUBLIC HEALTH,State - Health Department,3/5/2025,"$14,356"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Task Force for Global Health, Inc (The)",Private Non-Profit - Other Special Interest Organization,3/5/2025,"$166,640"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,National Association of Chronic Disease Directors,Private Non-Profit - Other Social Services Organization,3/5/2025,"$15,022"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,National Association of Chronic Disease Directors,Private Non-Profit - Other Social Services Organization,3/5/2025,"$14,915"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,National Association of Chronic Disease Directors,Private Non-Profit - Other Social Services Organization,3/5/2025,"$147,204"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,National Association of Chronic Disease Directors,Private Non-Profit - Other Social Services Organization,3/5/2025,"$38,738"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,National Association of Chronic Disease Directors,Private Non-Profit - Other Social Services Organization,3/5/2025,"$208,928"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,National Association of Chronic Disease Directors,Private Non-Profit - Other Social Services Organization,3/5/2025,"$18,866"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,National Association of Chronic Disease Directors,Private Non-Profit - Other Social Services Organization,3/5/2025,"$22,305"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,National Association of Chronic Disease Directors,Private Non-Profit - Other Social Services Organization,3/5/2025,"$5,138"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"PR DEPARTMENT OF HEALTH, ADMIN OF FACILITIES/HLTH SVCS",State - Health Department,3/5/2025,"$2,799"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"PR DEPARTMENT OF HEALTH, ADMIN OF FACILITIES/HLTH SVCS",State - Health Department,3/5/2025,"$4,143"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"PR DEPARTMENT OF HEALTH, ADMIN OF FACILITIES/HLTH SVCS",State - Health Department,3/5/2025,"$4,262"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"PR DEPARTMENT OF HEALTH, ADMIN OF FACILITIES/HLTH SVCS",State - Health Department,3/5/2025,"$5,489"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FLORIDA STATE UNIVERSITY,"State - University, College, Jr. College",3/5/2025,"$5,220"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FLORIDA STATE UNIVERSITY,"State - University, College, Jr. College",3/5/2025,"$4,641"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FLORIDA STATE UNIVERSITY,"State - University, College, Jr. College",3/5/2025,"$17,137"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FLORIDA STATE UNIVERSITY,"State - University, College, Jr. College",3/5/2025,"$11,709"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$4,285"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$57,644"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$3,045"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$1,664"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$159,998"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,$214
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$42,325"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$1,124"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$10,109"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$42,415"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$6,989"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$6,654"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$58,179"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$13,534"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$45,860"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$4,507"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$7,464"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$64,152"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$4,423"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$28,439"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,ID ST DEPT OF HEALTH & WELFARE,State - Health Department,3/5/2025,"$4,647"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,HOUSTON CITY HEALTH & HUMAN SERVICES DEPARTMENT,City - Health Department,3/5/2025,"$461,274"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$11,221"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$26,603"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$6,383"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$45,689"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$11,510"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$47,149"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$25,075"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$63,050"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$37,778"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$16,846"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$38,832"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$16,383"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$150,880"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$13,687"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$4,473"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$47,954"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$31,083"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$68,185"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$106,217"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$59,405"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$26,439"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF IOWA,"State - University, College, Jr. College",3/5/2025,"$26,116"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$5,211"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$12,655"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$2,461"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$21,264"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$4,065"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$45,021"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$294,782"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$10,583"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$17,967"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,$905
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$6,144"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$12,553"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$19,724"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$8,709"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$26,861"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$2,594"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$4,669"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$126,616"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, MAINE DEPARTMENT OF",State - Social Services Department,3/5/2025,"$5,634"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF MARYLAND BALTIMORE PROFESSIONAL SCHOOLS,"State - University, College, Jr. College",3/5/2025,"$39,169"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF MARYLAND BALTIMORE PROFESSIONAL SCHOOLS,"State - University, College, Jr. College",3/5/2025,"$2,731"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF MARYLAND BALTIMORE PROFESSIONAL SCHOOLS,"State - University, College, Jr. College",3/5/2025,"$30,385"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF MARYLAND BALTIMORE PROFESSIONAL SCHOOLS,"State - University, College, Jr. College",3/5/2025,"$77,361"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF MASSACHUSETTS,"Private Non-Profit - University, College, Jr. College",3/5/2025,"$15,417"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF MASSACHUSETTS,"Private Non-Profit - University, College, Jr. College",3/5/2025,$162
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF MASSACHUSETTS,"Private Non-Profit - University, College, Jr. College",3/5/2025,$333
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF MASSACHUSETTS,"Private Non-Profit - University, College, Jr. College",3/5/2025,$101
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF MASSACHUSETTS,"Private Non-Profit - University, College, Jr. College",3/5/2025,$56
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MA ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/5/2025,"$83,833"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,DELTA COUNSELING ASSOCIATES,Public Non-Profit - Community Action Organization,3/5/2025,"$8,197"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MT ST DEPARTMENT OF LABOR & INDUSTRY,State - Other Social Services Organization,3/5/2025,"$8,768"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/5/2025,"$853,933"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"Association of Public Health Laboratories, Inc. (THE)",Private Non-Profit - Planning and Administrative Organization,3/5/2025,"$129,797"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WA ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$20,176"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$8,960"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$1,111"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$32,661"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$3,763"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$6,131"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$46,796"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$33,206"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MS ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,$197
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"MT ST DEPT OF PHHS, HEALTH POLICIES AND SERVICES",State - Health Department,3/5/2025,"$6,506"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,MURRAY STATE UNIVERSITY,"Private Profit (Small Business) - Research Institution, Foundation, Laboratory",3/5/2025,"$4,055"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AMERICAN COLLEGE OF PREVENTIVE MEDICINE,"Private Non-Profit - University, College, Jr. College",3/5/2025,"$1,524"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,AMERICAN COLLEGE OF PREVENTIVE MEDICINE,"Private Non-Profit - University, College, Jr. College",3/5/2025,"$4,358"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,IMMUNIZATION ACTION COALITION,Private Non-Profit - Other Special Interest Organization,3/5/2025,"$79,154"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF NEVADA-LAS VEGAS,"State - University, College, Jr. College",3/5/2025,"$22,114"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH AND HUMAN SERVICES, NEBRASKA DEPARTMENT OF","State - University, College, Jr. College",3/5/2025,"$26,800"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH, NORTH DAKOTA DEPARTMENT OF",State - Health Department,3/5/2025,"$7,893"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH, NORTH DAKOTA DEPARTMENT OF",State - Health Department,3/5/2025,"$6,469"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH, NORTH DAKOTA DEPARTMENT OF",State - Health Department,3/5/2025,$682
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH, NORTH DAKOTA DEPARTMENT OF",State - Health Department,3/5/2025,"$20,990"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"HEALTH, NORTH DAKOTA DEPARTMENT OF",State - Health Department,3/5/2025,"$4,585"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,OH ST DEPARTMENT OF PUBLIC HEALTH,State - Health Department,3/5/2025,"$5,570"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/5/2025,"$2,736"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/5/2025,"$1,152"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/5/2025,"$6,524"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/5/2025,"$16,454"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,State - Health Department,3/5/2025,$144
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"NATIONAL MINORITY AIDS COUNCIL, INC",Private Non-Profit - Other Social Services Organization,3/5/2025,"$89,481"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,Virginia Sexual & Domestic Violence Action Alliance,Private Non-Profit - Other Special Interest Organization,3/5/2025,"$3,000"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,RAND CORPORATION,Private Profit (Large Business) - Supplier Org (svc supplies material equip),3/5/2025,"$30,453"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"United South & Eastern Tribes, Inc",Public Non-Profit - Indian Tribal Council,3/5/2025,"$11,254"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"United South & Eastern Tribes, Inc",Public Non-Profit - Indian Tribal Council,3/5/2025,"$22,847"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"United South & Eastern Tribes, Inc",Public Non-Profit - Indian Tribal Council,3/5/2025,"$8,590"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,"United South & Eastern Tribes, Inc",Public Non-Profit - Indian Tribal Council,3/5/2025,"$2,543"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,COUNCIL OF STATE & TERRITORY EPIDEMIOLOGISTS,Private Non-Profit - Other Health Organization,3/5/2025,"$14,774"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,COUNCIL OF STATE & TERRITORY EPIDEMIOLOGISTS,Private Non-Profit - Other Health Organization,3/5/2025,"$1,268"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,COUNCIL OF STATE & TERRITORY EPIDEMIOLOGISTS,Private Non-Profit - Other Health Organization,3/5/2025,"$146,439"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,COUNCIL OF STATE & TERRITORY EPIDEMIOLOGISTS,Private Non-Profit - Other Health Organization,3/5/2025,"$48,561"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,COUNCIL OF STATE & TERRITORY EPIDEMIOLOGISTS,Private Non-Profit - Other Health Organization,3/5/2025,"$83,498"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$48,050"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$4,401"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$1,801"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$37,633"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$1,620"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$5,012"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$1,666"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$3,251"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$2,527,355"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$12,699"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$3,453"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$26,147"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$6,005"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$1,423"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$8,036"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$1,065"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$2,390"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,FL ST DEPT OF HLTH,State - Health Department,3/5/2025,"$72,583"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CTR DALLAS,"State - University, College, Jr. College",3/5/2025,"$9,770"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CTR DALLAS,"State - University, College, Jr. College",3/5/2025,$809
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WY ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$181,445"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WY ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$2,899"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,WY ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$519,035"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF SOUTH FLORIDA,"State - University, College, Jr. College",3/5/2025,"$1,565"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,UNIVERSITY OF SOUTH FLORIDA,"State - University, College, Jr. College",3/5/2025,"$13,589"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TEMPLE UNIVERSITY,"State - University, College, Jr. College",3/5/2025,"$109,843"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TEMPLE UNIVERSITY,"State - University, College, Jr. College",3/5/2025,"$43,698"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TEMPLE UNIVERSITY,"State - University, College, Jr. College",3/5/2025,"$12,188"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TEMPLE UNIVERSITY,"State - University, College, Jr. College",3/5/2025,"$26,902"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,$40
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$46,644"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$37,998"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$16,425"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$3,252"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$162,275"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$8,406"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$8,669"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$4,697"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$27,071"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$17,381"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$15,959"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$22,868"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$4,470"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$65,081"
HHS-CENTERS FOR DISEASE CONTROL & PREVENTION,TN ST DEPARTMENT OF HEALTH,State - Health Department,3/5/2025,"$46,213"
